,Model,RMSE,MSE,MAE,R2 Score
0,Linear Regression,197.63951513645497,39061.377943373016,153.2399170238527,0.9512265726254266
1,Decision Tree,374.09722617783723,139948.7346339519,288.32232692307696,0.8252550267241527
2,Random Forest,255.78177476337314,65424.31630110095,174.47372048076937,0.9183088690760274
3,Gradient Boosting,202.7275547183537,41098.46144208309,153.76479519296706,0.948682997633671
4,K-Nearest Neighbors,365.84070091959,133839.4184493369,292.2414923076923,0.8328833364491859
5,CatBoost,201.00212350513533,40401.85365357367,147.3118596871508,0.9495528069228028
6,LightGBM,297.28096546845177,88375.97242985482,227.76988177373357,0.8896506139846482
7,XGBoost,230.08806078369784,52940.51571520263,178.60804929997371,0.9338965870033789
8,ARIMA,912.1880527091129,832087.0435052434,749.2954283643796,-0.03897351098469559
