,date,Branch_A_sales,week,Branch_B_sales,Branch_C_sales
0,2019-03-26,1162.8233400000004,2019-03-25,1130.4546,1411.400827041151
1,2019-03-27,1167.9583650000004,2019-04-01,1105.0183,1502.3644577870393
2,2019-03-28,1167.9583650000004,2019-04-01,1102.9926,1502.3644577870393
3,2019-03-29,1168.4112300000004,2019-04-01,1102.9845,1507.430173355449
4,2019-03-30,1171.4310300000004,2019-04-01,1129.6752,1507.430173355449
5,2019-03-31,1171.4310300000004,2019-04-01,1129.6752,1507.430173355449
6,2019-04-01,1165.6607550000003,2019-04-01,1141.6158,1507.430173355449
